Ticker,Pick/Not,Category,Stars,NET,YTD,1yr,3yr,5yr,10yr,Cusip,Code
SKSEX,,Small Blend,3,1.19,2.02,15.39,10.14,10.39,11.87,00170K208,
HYBUX,,Small Blend,3,1.67,8.42,23.38,13.58,10.25,10.83,41012R811,
HDPSX,,Small Blend,2,1.3,11.04,28.54,10.11,10.47,11.13,742935299,
HSCSX,,Small Blend,3,0.88,-2.37,13.57,9.68,9.24,11.81,437769508,
BIAUX,,Small Blend,3,1.31,5.70,20.39,14.19,11.75,N/A,115233793,
GTCSX,,Small Blend,4,0.9,7.35,22.33,13.68,11.92,11.38,378690606,
BUFOX,,Small Growth,3,1.5,18.18,29.33,16.50,11.20,13.95,119530301,
RYVPX,,Small Growth,2,1.49,15.90,26.07,13.57,12.51,8.57,780905741,
PRNHX,,Small Growth,5,0.78,25.28,35.34,21.40,17.85,16.62,779562107,
PRDSX,,Small Growth,4,0.79,15.08,27.79,16.47,14.96,13.40,779917103,
ACMVX - !!!! NO DATA FOUND
HWMAX,,Mid-Cap Value,2,1.24,8.43,20.76,10.64,8.81,11.85,44134R206,
JMCVX,Pick,Mid-Cap Value,3,0.72,1.60,10.50,11.37,9.80,7.96,471023598,
PYSAX,,Mid-Cap Blend,1,0.39,5.93,4.93,4.95,5.49,N/A,74676P169,
VASVX,,Mid-Cap Value,3,0.39,-4.48,5.68,10.09,9.63,10.42,921946109,
CAAPX - !!!! NO DATA FOUND
FLPSX,Pick,Mid-Cap Value,4,0.68,3.00,12.67,10.02,10.28,10.42,316345305,
FLVCX,,Mid-Cap Blend,2,0.8,3.19,13.79,9.77,8.93,7.25,316389873,
CHTTX,,Mid-Cap Value,3,1.14,-2.67,8.04,10.78,9.06,10.09,00171A738,
RYVFX,,Small Value,2,1.51,7.81,29.43,10.70,8.41,6.50,780905733,
TMCTX,Pick,Mid-Cap Blend,3,1.44,8.39,24.49,13.94,12.38, 9.55,89155H785,
VSEQX,,Mid-Cap Blend,4,0.18,9.39,21.88,14.32,14.45,11.32,922038104,
AKREX,Pick,Large Growth,4,1.33,15.00,25.88,17.65,16.40,N/A,742935117,
ETGLX,,Mid-Cap Growth,4,1.41,16.70,33.10,15.45,15.14,16.23,62827L682,
HFCSX,,Mid-Cap Growth,4,1.5,3.51,14.27,10.47,11.31,12.35,42588P700,
POAGX,,Mid-Cap Growth,5,0.64,16.76,38.22,22.82,19.99,18.51,74160Q202,
RYPRX,,Small Growth,2,1.16,8.07,23.02,16.60,11.08,9.40,780905600,
VLEOX,,Small Growth,3,1.21,11.86,25.66,15.66,13.47,10.97,920454105,
DODGX,,Large Value,4,0.52,7.69,18.05,15.56,13.64,10.19,256219106,
LEXCX,,Large Value,3,0.59,8.42,18.43,14.62,9.93,9.13,92912M105,
SSHFX,,Large Value,2,0.91,3.90,10.71,11.62,11.09,8.24,836083105,
FDSTX,,Large Value,4,1.69,-0.21,12.60,11.13,9.92,11.74,86704B798,
FGRIX,,Large Blend,2,0.63,7.51,17.14,13.83,11.95,7.86,316389204,
FLCSX,,Large Blend,3,0.67,8.85,18.20,14.35,12.76,11.58,315912402,
FGRTX,,Large Blend,3,0.68,8.37,16.85,14.00,12.40,10.44,31617F403,
GABEX,,Large Blend,2,1.39,2.83,10.06,9.29,8.31,7.98,36239T202,
MPGFX,,Large Blend,3,0.64,8.27,17.39,13.86,11.67,10.53,56064V205,
PRBLX,,Large Blend,4,0.87,10.24,18.52,13.42,13.08,10.76,701769101,
SMVLX,,Large Blend,4,1.29,6.16,16.70,11.52,12.35,11.42,83178C881,
VCVLX,,Large Value,2,0.27,3.68,12.98,8.77,7.53,10.02,922020409,
VDIGX,,Large Blend,4,0.26,9.96,16.26,13.79,12.38,10.36,921908604,
VICEX,,Large Blend,2,1.53,-6.90,2.85,10.91,8.75,8.45,90347D203,
YAFFX,Pick,Large Blend,3,1.27,6.96,15.19,14.67,9.99,12.65,00170K570,
YACKX,,Large Value,4,0.76,6.74,14.40,13.35,9.68,12.38,00170K588,
VHCOX,,Large Growth,4,0.44,14.20,25.70,19.48,17.80,13.18,922038302,
SHRAX,,Large Growth,2,1.12,10.30,14.61,9.85,11.02,10.55,52468C109,
FCNTX,Pick,Large Growth,4,0.74,17.34,25.56,18.41,16.67,12.15,316071109,
FTQGX,,Large Growth,4,0.57,23.53,31.69,18.86,15.12,11.94,316066406,
FOCPX,Pick,Large Growth,5,0.81,21.21,29.40,23.59,20.38,16.17,316389105,
PARWX,,Large Blend,5,0.92,4.63,13.26,16.36,16.17,14.32,701765869,
MXXVX,,Large Blend,4,1.08,-2.03,14.35,14.53,11.68,13.75,577119100,
TRBCX,,Large Growth,5,0.7,19.15,28.06,20.08,18.99,13.80,77954Q106,
