Ticker,Name,Category,Stars,NET,Gross,YTD,1yr,3yr,5yr,10yr
JERTX,Janus Henderson Global Real Estate Fund Class T,Global Real Estate,5,1.04,1.04,N/A,   3.33,   6.97,   6.95,  14.11
KSCOX,Kinetics Small Capital Opportunities Fund No Load Class,Small Blend,4,1.66,1.8,N/A,  12.91,  16.83,   6.79,  15.92
KTRAX,DWS Global Income Builder Fund - Class A,World Allocation,4,0.95,0.95,N/A,  -1.99,   6.77,   3.87,   7.88
LCLAX,ClearBridge Select Fund Class A,Mid-Cap Growth,5,1.53,2.23,N/A,  23.36,  18.61,  14.77,N/A
LGMAX,Loomis Sayles Global Allocation Fund Class A,World Allocation,5,1.18,1.18,N/A,   0.80,   7.79,   6.10,  12.27
LTNYX,Oppenheimer Rochester<sup>&reg;</sup> Limited Term New York Municipal Fund Class A,Muni Single State Short,5,0.96,0.96,N/A,   9.90,   2.44,   2.39,   3.94
MAAGX,MFS Aggressive Growth Allocation Fund Class A,Allocation--85%+ Equity,5,1.08,1.09,N/A,   1.59,   9.06,   7.02,  12.30
MCDFX,Matthews China Dividend Fund Investor Class,China Region,5,1.19,1.19,N/A,  -4.94,  11.13,   8.18,N/A
MDDCX,BlackRock Emerging Markets Fund, Inc. Investor A Shares,Diversified Emerging Mkts,4,1.24,1.56,N/A,  -5.04,  11.01,   2.16,   9.08
MDIDX,MFS International Diversification Fund Class A,Foreign Large Blend,5,1.12,1.14,N/A,  -5.30,   6.60,   3.58,   9.20
MECMX,BlackRock California Municipal Opportunities Fund Investor A Shares,Muni California Intermediate,5,0.8,0.82,N/A,   2.44,   3.04,   4.85,   5.87
MEMTX,Blackrock Strategic Municipal Opp Fd Of Blackrock Muni Series Tr Investor A Shares,Muni National Interm,4,0.98,1.03,N/A,   2.46,   3.55,   4.32,   5.45
MENKX,BlackRock New York Municipal Opportunities Fund Investor A Shares,Muni New York Intermediate,5,0.89,0.97,N/A,   2.36,   3.17,   5.08,   5.72
MFAPX,Morgan Stanley Institutional Fund, Inc. International Advantage Portfolio Class A,Foreign Large Growth,5,1.33,1.42,N/A,   1.78,  12.44,  10.56,N/A
MFXAX,Morgan Stanley Institutional Fund Trust Core Plus Fixed Income Portfolio Class A,Intermediate-Term Bond,5,0.77,1.02,N/A,  -1.53,   4.73,   4.33,   5.73
MGFIX,AMG Managers Loomis Sayles Bond Fund Class N,Intermediate-Term Bond,5,0.99,0.99,N/A,  -2.02,   2.82,   2.58,   7.64
MGGPX,Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class A,World Large Stock,5,1.32,1.32,N/A,   2.75,  14.09,  15.00,  20.78
MGLAX,MFS Global Real Estate Fund Class A,Global Real Estate,5,1.35,1.43,N/A,   2.78,   7.16,   7.30,N/A
MGRAX,MFS International Growth Fund Class A,Foreign Large Growth,4,1.15,1.15,N/A,  -3.25,   7.92,   4.23,   9.64
MIOPX,Morgan Stanley Institutional Fund, Inc. International Opportunity Portfolio Class A,Foreign Large Growth,5,1.29,1.36,N/A,  -3.59,  11.11,  10.22,N/A
MOTIX,BNY Mellon Municipal Opportunities Fund Class Investor,Muni National Interm,5,0.99,0.99,N/A,   2.76,   2.73,   4.27,   6.44
MPACX,Matthews Asia Growth Fund Investor Class,Diversified Pacific/Asia,4,1.12,1.12,N/A,  -3.93,   9.29,   5.60,  12.57
MRGAX,MFS Core Equity Fund Class A,Large Blend,5,1.02,1.02,N/A,   5.87,  12.53,  10.61,  14.99
MWOFX,MFS Global Growth Fund Class A,World Large Stock,4,1.4,1.44,N/A,   3.41,  10.88,   7.92,  12.22
