Ticker,Pick/Not,Category,Stars,NET,YTD,1yr,3yr,5yr,10yr,Cusip,Code
AVPAX,,Small Value,3,1.13,-16.76,-4.34,7.65,5.96,13.86,02368A620,
HUSIX - !!!! NO DATA FOUND
SKSEX,,Small Blend,3,1.19,-19.81,-7.74,5.17,4.29,16.14,00170K208,
HYBUX,,Small Blend,3,1.67,-16.20,-3.03,6.30,5.04,13.69,41012R811,
HDPSX,,Small Blend,3,1.3,-17.72,2.64,4.99,4.28,17.08,742935299,
HSCSX,,Small Blend,3,0.88,-26.75,-15.18,1.88,3.69,14.65,437769508,
BIAUX,,Small Blend,3,1.3,-14.73,-3.48,8.12,6.01,N/A,115233793,
GTCSX,,Small Blend,4,0.9,-16.55,-1.89,7.92,6.47,15.25,378690606,
BUFOX,,Small Growth,3,1.5,-5.71,2.94,12.29,4.92,18.27,119530301,
RYVPX,,Small Growth,2,1.49,-12.10,0.52,7.55,6.16,12.36,780905741,
PRNHX,,Mid-Cap Growth,5,0.78,2.77,16.32,16.78,13.35,21.29,779562107,
PRDSX,,Small Growth,4,0.79,-8.06,5.30,11.46,9.75,17.61,779917103,
ACMVX - !!!! NO DATA FOUND
HWMAX,,Mid-Cap Value,2,1.24,-20.29,-2.69,4.77,4.25,16.13,44134R206,
JMCVX,,Mid-Cap Value,3,0.92,-13.86,-3.20,8.17,6.93,11.09,471023598,
PYSAX,,Mid-Cap Blend,1,0.39,-17.50,-8.98,0.36,-0.50,N/A,74676P169,
VASVX,,Mid-Cap Value,3,0.39,-20.44,-7.92,6.69,5.84,14.00,921946109,
CAAPX - !!!! NO DATA FOUND
FLPSX,Pick,Mid-Cap Value,4,0.62,-11.49,-0.95,7.50,6.80,14.76,316345305,
FLVCX,,Mid-Cap Blend,2,0.78,-17.09,-5.12,4.51,4.20,14.44,316389873,
CHTTX,,Mid-Cap Value,3,1.14,-19.59,-5.24,7.21,5.79,15.48,00171A738,
RYVFX,,Small Value,2,1.51,-8.40,1.85,7.67,3.45,11.21,780905733,
TMCTX,,Mid-Cap Blend,3,1.44,-4.35,4.57,10.85,8.32,13.54,89155H785,
VSEQX,,Mid-Cap Blend,4,0.18,-12.62,-0.98,8.31,8.79,15.64,922038104,
AKREX,Pick,Large Growth,5,1.32,4.91,11.86,15.71,13.32,N/A,742935117,
ETGLX,,Mid-Cap Growth,4,1.4,-3.90,11.08,12.03,10.81,18.58,62827L682,
HFCSX,,Mid-Cap Growth,3,1.5,-10.93,-0.29,6.56,7.94,15.07,42588P700,
POAGX,,Mid-Cap Growth,5,0.64,-8.10,4.94,16.30,14.06,21.72,74160Q202,
RYPRX,,Small Growth,3,1.16,-11.63,1.12,12.92,7.28,13.08,780905600,
VLEOX,,Small Growth,4,1.21,-5.92,5.71,10.98,9.42,15.27,920454105,
DODGX,,Large Value,5,0.52,-8.05,6.57,13.28,10.10,14.80,256219106,
LEXCX,,Large Value,3,0.59, -5.83,5.82,11.56,8.00,12.02,92912M105,
SSHFX,,Large Value,3,0.91,-19.19,-1.31,7.93,7.36,12.38,836083105,
FDSTX,,Large Value,4,1.69,-12.21,0.81,8.95,7.81,15.71,86704B798,
FGRIX,Pick,Large Blend,3,0.61,-9.54,3.89,10.33,8.68,13.11,316389204,
FLCSX,Pick,Large Blend,4,0.67,-9.82,4.19,10.90,9.07,16.35,315912402,
