Ticker,Category,Stars,NET,YTD,1yr,3yr,5yr,10yr
ABC - !!!! NO DATA FOUND
FCNTX,Large Growth,3,0.74,-2.93,6.54,12.72,11.65,15.01
SBALX,World Allocation,4,1.63,-9.47,-2.77,3.72,4.37,8.17
TUVWX - !!!! NO DATA FOUND
